N, setup fft, setup qr, solve fft, solve qr
4, 47033, 4.6771e+06, 19043, 15123
5, 401696, 2.59463e+07, 229370, 50079
6, 570841, 1.16465e+08, 324782, 120080
7, 815816, 4.5461e+08, 456133, 349756
8, 109002, 1.41769e+09, 86560, 738954
9, 3.41744e+06, 4.18669e+09, 1.87423e+06, 1.46377e+06
10, 4.27888e+06, 1.06628e+10, 2.36272e+06, 2.77561e+06
11, 5.27081e+06, 2.58957e+10, 2.89313e+06, 4.90277e+06
12, 6.27093e+06, 5.77777e+10, 3.47647e+06, 8.6085e+06
13, 7.50063e+06, 1.1716e+11, 4.13484e+06, 1.36779e+07
14, 8.74608e+06, 2.25724e+11, 4.83848e+06, 2.00867e+07
15, 1.01081e+07, 4.41487e+11, 6.14595e+06, 3.57261e+07
16, 1.61448e+06, 1.40359e+12, 979128, 5.17599e+07
